,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14
gcs_24h,0.009526741677287532,0.0076955118252030694,0.007802790124326441,0.008887472085379407,0.009456847358992408,0.008402740936517881,0.00820760774717822,0.010873001957840075,0.00833138299566633,0.009900921349950848,0.009662650682153951,0.009069922742768148,0.00831136266871495,0.008617750096390975,0.009063572907149047
gcs_min_24h,0.006394439184155296,0.005580662028080757,0.005897730022813843,0.005937873067771486,0.005787834120801196,0.006222944872977105,0.0052070197699262645,0.007926444017198527,0.005213967891566708,0.005992100228561535,0.009113788596436712,0.005413230658682064,0.00617195760368576,0.007648106128146309,0.005114752598221832
gcs_max_24h,0.012692282182059134,0.01065785517141745,0.008690810671879715,0.008709945659007647,0.008439384450067967,0.009802402070463236,0.01121982892563018,0.009176919190559777,0.009099388461487936,0.013413737293929986,0.008304605497286788,0.01482039128380871,0.007556572233528234,0.008787585198999883,0.012179044818303024
gcs_delta,0.011479842099452135,0.010957981973273623,0.010850746183498437,0.011494441089103918,0.01091285194833021,0.011683056746569536,0.009891233275458242,0.010818647577775684,0.010583662126369303,0.011570961223491192,0.010813791205300492,0.011338247456057831,0.011867129566223291,0.011236290891690662,0.01162617932572779
n_gcs_assessments,0.021009611801910785,0.016850435200597754,0.021418496392138033,0.018529607339089954,0.01844097299730135,0.020827646582251568,0.019976175701919344,0.0167002219808707,0.016049787368630854,0.020360669678909447,0.016981976093476854,0.018061353663908597,0.017976511621321245,0.020220637421872967,0.01740092820059947
sodium_slope_48h,0.013361231474114459,0.013377661855523089,0.013980810259947733,0.015931268745797384,0.013369086850611214,0.013285154934710566,0.016310857132806743,0.013329690430107106,0.015322359915613749,0.011614589024064832,0.01594246206195652,0.013918147937695625,0.012961288463230003,0.01423679518836361,0.013414359093427954
sodium_delta_48h,0.008038845662074594,0.008405365160000235,0.008985692447888945,0.010369432028685005,0.00812051355849107,0.007937194339444653,0.009923272702161843,0.009807986251742081,0.009376440250404868,0.007007089882032743,0.008642816119351752,0.00826755039881533,0.007352247232678834,0.009254774081627382,0.008402595241211584
sodium_cv_48h,0.010024350763571855,0.013209012231503498,0.011141692868956695,0.0095479558373119,0.013091136504626403,0.010586679273597804,0.010178228998384461,0.010838247864916065,0.010219548356156226,0.010638585888808123,0.01115126957488347,0.011004642034644664,0.011207906201748661,0.009845233919844886,0.010955167482612566
potassium_slope_48h,0.014358300253815995,0.019836769137505157,0.014468226080229027,0.015012755426550973,0.012622681580130411,0.013693236927187677,0.016276741049900487,0.01583319804056445,0.01315135891200344,0.013687656872124634,0.012873844107704355,0.012896908273133906,0.01414822056057113,0.015983626150563673,0.016180355589921782
potassium_delta_48h,0.008780381080069066,0.011057069202493736,0.008822858333538654,0.010681014367043863,0.008366067024800545,0.008228499291013042,0.011846844354633894,0.010396364508018783,0.010564648819237722,0.009019669353945142,0.010020337257368173,0.008399486765048392,0.009971823470088974,0.011670140522958243,0.009862282381506948
