model,threshold,nb_model,nb_treat_all,nb_treat_none
eicu_setA,0.55,-0.0379752074667329,-1.0314149127708454,0.0
eicu_setA,0.56,-0.03604869706564623,-1.0775834335156371,0.0
eicu_setA,0.5700000000000001,-0.03512411908154913,-1.1258993273183266,0.0
eicu_setA,0.58,-0.03415551357439976,-1.1765159779687624,0.0
eicu_setA,0.59,-0.031122659894879806,-1.2296017335289762,0.0
eicu_setA,0.6,-0.029986962190352014,-1.2853417768672006,0.0
eicu_setA,0.61,-0.027751909107841314,-1.3439402839663597,0.0
eicu_setA,0.62,-0.026997088549274097,-1.405622923018106,0.0
eicu_setA,0.63,-0.026402823012992502,-1.4706397587753521,0.0
eicu_setA,0.64,-0.026199788911653324,-1.5392686409635565,0.0
eicu_setA,0.65,-0.025277386052204462,-1.6118191735625154,0.0
eicu_setA,0.66,-0.02348996965148511,-1.688637384549648,0.0
eicu_setA,0.67,-0.023812345846244157,-1.7701112446875165,0.0
eicu_setA,0.68,-0.02325852113987708,-1.8566772210840012,0.0
eicu_setA,0.6900000000000001,-0.020289715751716855,-1.9488280991834854,0.0
eicu_setA,0.7000000000000001,-0.020177562550443916,-2.047122369156268,0.0
eicu_setA,0.71,-0.01995491358437004,-2.152195554299587,0.0
eicu_setA,0.72,-0.020168693292179976,-2.2647739669531433,0.0
eicu_setA,0.73,-0.01748722087705138,-2.385691521284741,0.0
eicu_setA,0.74,-0.017278679599409714,-2.515910425949539,0.0
eicu_setA,0.75,-0.014527845036319615,-2.656546842987521,0.0
eicu_setA,0.76,-0.012789470416589063,-2.8089029614453347,0.0
eicu_setA,0.77,-0.012624810708819552,-2.974507438029914,0.0
eicu_setA,0.78,-0.011496977598672516,-3.1551668670312742,0.0
eicu_setA,0.79,-0.010483463267966904,-3.3530319559375257,0.0
eicu_setA,0.8,-0.005401378282734217,-3.570683553734402,0.0
eicu_setA,0.81,-0.005479801197910033,-3.811245846036213,0.0
eicu_setA,0.8200000000000001,-0.005711802321971817,-4.078537281927114,0.0
eicu_setA,0.8300000000000001,-0.005905360840555262,-4.377274769099298,0.0
eicu_setA,0.84,-0.006844850065189047,-4.713354442168001,0.0
eicu_setA,0.85,-0.00403551251008878,-5.094244738312534,0.0
eicu_setA,0.86,-0.002155229758135327,-5.529547933906287,0.0
eicu_setA,0.87,-0.0015043626516899004,-6.031820851899078,0.0
eicu_setA,0.88,-0.0010554417334078352,-6.617805922890669,0.0
eicu_setA,0.89,-0.0017101542525271344,-7.3103337340625485,0.0
eicu_setA,0.9,-0.0005587632706276777,-8.141367107468806,0.0
eicu_setC,0.01,0.07647907647907648,0.07662958510416137,0.0
eicu_setC,0.02,0.06725685245228655,0.06720743801338751,0.0
eicu_setC,0.03,0.05824963085141313,0.05759101984857706,0.0
eicu_setC,0.04,0.04997050971627242,0.047774259638666404,0.0
eicu_setC,0.05,0.04261305153365813,0.03775083079275763,0.0
eicu_setC,0.06,0.03734203049024542,0.027514137503318895,0.0
eicu_setC,0.07,0.031935624062469324,0.01705730027217177,0.0
eicu_setC,0.08,0.02780859523674558,0.006373140492521467,0.0
eicu_setC,0.09,0.02591392589530045,-0.004545835985582683,0.0
eicu_setC,0.1,0.024275159868380206,-0.015707456385422508,0.0
eicu_setC,0.11,0.022685370238217317,-0.02711989971559578,0.0
eicu_setC,0.12,0.021351529826106094,-0.03879171675781845,0.0
eicu_setC,0.13,0.019927082463610808,-0.050731851433195696,0.0
eicu_setC,0.14,0.018465176920044873,-0.0629496636591631,0.0
eicu_setC,0.15,0.019195161767444915,-0.07545495381985912,0.0
eicu_setC,0.16,0.018448057188977286,-0.08825798898438128,0.0
eicu_setC,0.17,0.017485475521007477,-0.10136953102033766,0.0
eicu_setC,0.18,0.017944023731539235,-0.11480086676448809,0.0
eicu_setC,0.19,0.017121610341949325,-0.12856384042824723,0.0
